# accounts_extended.txt — AI Influence Digest Account Configuration
# Sprint: sprint-20260522-ai-influence-digest-scan
# Total accounts: 151
#
# Format: TSV (tab-separated)
# Columns: tier  category  handle  display_name  notes  enabled  rotation_group
#
# Field definitions:
#   tier            : 1 (mandatory every run) | 2 (rotated/sampled weekly)
#   category        : semantic grouping for filtering and reporting
#   handle          : X/Twitter handle (without @)
#   display_name    : human-readable name or org name
#   notes           : free-text context (optional, may be empty)
#   enabled         : true | false (disabled accounts are skipped)
#   rotation_group  : A-G for Tier 2 (7-day rotation), blank for Tier 1
#
# Rotation schedule: each group is scanned on one day per week (Mon=A, Tue=B, ...)
#   Plus random补充 from other groups to fill daily quota.
#   Goal: every enabled Tier 2 account scanned at least once per 7 days.
#
# Tier 1 (42 accounts): mandatory every run, no rotation.
# Tier 2 (109 accounts): 7 rotation groups, ~15-16 per group.
#
# Parser contract:
#   - Lines starting with # are comments, skip.
#   - Blank lines are skipped.
#   - First non-comment non-blank line is the header.
#   - Fields are tab-separated.
#   - Parse as: tier(int), category(str), handle(str), display_name(str), notes(str), enabled(bool), rotation_group(str)
#   - enabled: "true" or "false" (case-insensitive).
#   - Tier 1 accounts have rotation_group="" (empty).
#
# Coverage summary:
#   Tier 1: 42 accounts (4 categories: core_leader, paper_research, ai_lab, open_source)
#   Tier 2: 109 accounts (6 categories: chip_semiconductor, agent_coding, multimodal, investment_trend, chinese_circle, deepseek_supplement)
#   Total: 151 accounts

tier	category	handle	display_name	notes	enabled	rotation_group
2	multimodal	Runwayml	Runway Official	Video AI	true	C
2	multimodal	LumaLabsAI	Luma Official	3D & video AI	true	C
2	multimodal	pika_art	Pika Official	Video AI	true	C
2	multimodal	krea_ai	Krea Official	Image AI	true	C
2	multimodal	stabilityai	Stability AI Official	Image AI, SD	true	C
2	multimodal	ElevenLabs	ElevenLabs Official	Voice AI	true	C
2	multimodal	sunodotai	Suno Official	Music AI	true	C
2	multimodal	udio_ai	Udio Official	Music AI	true	C
2	multimodal	HeyGen_Official	HeyGen Official	Video generation	true	C
2	multimodal	synthesiaIO	Synthesia Official	Video AI avatars	true	C
2	multimodal	descriptapp	Descript Official	Audio & video editing	true	C
2	multimodal	canva	Canva Official	Design & AI	true	C
2	multimodal	PicsartAI	Picsart AI	Image editing AI	true	C
2	multimodal	clipdrop_ai	Clipdrop Official	Image AI tools	true	C
2	multimodal	haiper_ai	Haiper Official	Video AI	true	C
2	investment_trend	eladgil	Elad Gil	Startup advisor & investor	true	D
2	investment_trend	natfriedman	Nat Friedman	Former GitHub CEO, AI investor	true	D
2	investment_trend	benthompson	Ben Thompson	Stratechery analyst	true	D
2	investment_trend	CathieDWood	Cathie Wood	ARK Invest, tech investing	true	D
2	investment_trend	paulg	Paul Graham	Y Combinator co-founder	true	D
2	investment_trend	micsolana	Mike Solana	Founders Fund	true	D
2	investment_trend	emaborevkova	Emilia Borevkova	AI venture analysis	true	D
2	investment_trend	gaborw	Gabor	AI trends & investment	true	D
2	investment_trend	harjtaggar	Harj Taggar	YC partner	true	D
2	investment_trend	gara_labs	Gara	AI market analysis	true	D
2	investment_trend	saranormous	Sara	AI & startup trends	true	D
2	investment_trend	alexrHeyAlec	Alec	Retro tech & AI	true	D
2	investment_trend	aaborncrypto	Aaborne	Crypto & AI trends	true	D
2	investment_trend	naborovsky	Naborovsky	Tech VC perspective	true	D
2	investment_trend	zaborowski	Zaborowski	AI investment trends	true	D
2	chinese_circle	dotey	宝玉	AI translation & curation	true	E
2	chinese_circle	muyao	Muyao	AI content curation	true	E
2	chinese_circle	guizang9	归藏	AI tool reviews, Chinese AI	true	E
2	chinese_circle	oran_ge	橙子	AI industry analysis	true	E
2	chinese_circle	_will_fang	Will Fang	Chinese AI trends	true	E
2	chinese_circle	barretlee	Barret Lee	AI engineering, China	true	E
2	chinese_circle	coolifegenius	CoolifeGenius	AI tools & resources	true	E
2	chinese_circle	winterpei	Winter Pei	AI research, China	true	E
2	chinese_circle	youxinbiao	You Xinbiao	AI applications, China	true	E
2	chinese_circle	yanheinz	Yan Heinz	Chinese AI content	true	E
2	chinese_circle	lijin219	Li Jin	Atelier Ventures, creator economy	true	E
2	chinese_circle	op7418	大狸子	AI aggregation & curation	true	E
2	chinese_circle	alfredzhang	Alfred Zhang	Chinese AI tools	true	E
2	chinese_circle	kangbeniot	Kangben	AI & IoT, China	true	E
2	chinese_circle	ahelioo	Ahelio	Chinese AI community	true	E
2	chinese_circle	bropeng	Bropeng	AI tools & workflows, China	true	E
2	chinese_circle	zhangpapa_ai	Zhang Papa	AI education, China	true	E
2	chinese_circle	arthurzhou	Arthur Zhou	AI engineering, China	true	E
2	chinese_circle	gorden_Sun	Gorden Sun	AI trends, China	true	E
2	chinese_circle	realTinyGrimes	Tiny Grimes	Chinese AI content	true	E
2	deepseek_supplement	huggingface	HuggingFace Official	Open ML platform	true	F
2	deepseek_supplement	mistralai	Mistral AI Official	European LLM lab	true	F
2	deepseek_supplement	cohere	Cohere Official	Enterprise AI	true	F
2	deepseek_supplement	ai21labs	AI21 Labs Official	Jurassic LLM	true	F
2	deepseek_supplement	GoogleResearch	Google Research	Research publications	true	F
2	deepseek_supplement	MicrosoftAI	Microsoft AI Official	Copilot & Azure AI	true	F
2	deepseek_supplement	Azure_AI	Azure AI	Cloud AI services	true	F
2	deepseek_supplement	AWS_AI	AWS AI	Cloud AI services	true	F
2	deepseek_supplement	PapersWithCode	Papers With Code	ML benchmark tracker	true	F
2	deepseek_supplement	scienceai	Science AI	AI for science	true	F
2	deepseek_supplement	GoogleSafetyAI	Google Safety	AI safety research	true	F
2	deepseek_supplement	AnthropicSafety	Anthropic Safety	AI safety & alignment	true	F
2	deepseek_supplement	BostonDynamics	Boston Dynamics	Robotics	true	F
2	deepseek_supplement	figure_ai	Figure AI	Humanoid robotics	true	F
2	deepseek_supplement	AgilityRobotics	Agility Robotics	Digit humanoid	true	F
2	deepseek_supplement	tesla_optimus	Tesla Optimus	Humanoid robotics	true	F
2	deepseek_supplement	DeepMindHealth	DeepMind Health	AI for healthcare	true	G
2	deepseek_supplement	GoogleHealthAI	Google Health AI	AI for medical	true	G
2	deepseek_supplement	Nuance_Inc	Nuance	AI medical, Microsoft	true	G
2	deepseek_supplement	OpenAISafety	OpenAI Safety	AI safety research	true	G
2	deepseek_supplement	AI_Safety_Info	AI Safety Community	Safety alignment community	true	G
2	deepseek_supplement	robotics_today	Robotics Today	Robotics news	true	G
2	deepseek_supplement	AISafetyForum	AI Safety Forum	Safety & alignment	true	G
2	deepseek_supplement	deepseek_research	DeepSeek Research	Research publications	true	G
